"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"1500015O10Rik",0.00412585882159091,7.6500551767184e-06,1637,1913,6.02586597382531,0.693147180559945,0,5.33271879326537,207,1558,1717,446.413962367058,424.870466321243,468.230160894464,TRUE,TRUE,TRUE,FALSE,TRUE
"Folr1",0.00175380951090909,2.16222827110159e-06,700,676,5.17048399503815,0,0,5.17048399503815,176,649,752,190.891737114808,176.983910553586,205.072266157622,TRUE,TRUE,TRUE,FALSE,TRUE
"Kcnj13",0.00144241311909091,2.81249358240131e-07,626,57,4.97673374242057,0,0,4.97673374242057,145,577,675,170.711753476957,157.34933187892,184.074175074993,TRUE,TRUE,TRUE,FALSE,TRUE
"Prlr",0.0023569589225,1.16488148501538e-05,1022,4467,5.46806014113513,0.693147180559945,0,4.77491296057519,118.5,960,1085,278.701936187619,261.794382328879,295.882192527952,TRUE,TRUE,TRUE,FALSE,TRUE
"Clic6",0.000985490430454545,1.58017142848329e-07,450,47,4.60517018598809,0,0,4.60517018598809,100,409,492,122.716116716662,111.535314971366,134.169620943551,TRUE,TRUE,TRUE,FALSE,TRUE
"Sostdc1",0.000968757213181818,4.42835234716163e-06,418,1439,4.58496747867057,0,0,4.58496747867057,98,378,459,113.989637305699,103.081538041996,125.170439050995,TRUE,TRUE,TRUE,FALSE,TRUE
"F5",0.000900622975681819,1.25551211129619e-06,322,325,4.51085950651685,0,0,4.51085950651685,91,287,358,87.8101990728116,78.2656122170712,97.6274884101445,TRUE,TRUE,TRUE,FALSE,TRUE
"Calml4",0.000805170688636364,4.64127439734539e-06,360,1590,4.40671924726425,0,0,4.40671924726425,82,323,398,98.1728933733297,88.0829015544041,108.535587673848,TRUE,TRUE,TRUE,FALSE,TRUE
"Otx2",0.000752960470909091,2.31474651780757e-07,325,58,4.33073334028633,0,0,4.33073334028633,76,290,361,88.6283065175893,79.0837196618489,98.4455958549223,TRUE,TRUE,TRUE,FALSE,TRUE
"Rdh5",0.000670922710909091,4.32031781053735e-06,268,895,4.21950770517611,0,0,4.21950770517611,68,236,301,73.0842650668121,64.3577856558495,82.0834469593673,TRUE,TRUE,TRUE,FALSE,TRUE
"Col8a1",0.000639770781136364,2.9546835239241e-06,293,594,4.17438726989564,0,0,4.17438726989564,65,260,327,79.9018271066267,70.9026452140714,89.1737114807745,TRUE,TRUE,TRUE,FALSE,TRUE
"Sulf1",0.000467953892045455,4.0212514676855e-06,191,1088,3.87120101090789,0,1.33397724377137e-322,3.87120101090789,48,164,219,52.0861739841833,44.7232069811835,59.7218434687756,TRUE,TRUE,TRUE,FALSE,TRUE
"Kl",0.000930108935136364,1.27105691666094e-05,475,4014,4.54329478227,0.693147180559945,0,3.85014760171006,47,433,518,129.533678756477,118.080174529588,141.259885464958,TRUE,TRUE,TRUE,FALSE,TRUE
"Kcne2",0.000440283694977273,5.87740691062285e-08,192,18,3.80666248977032,0,0,3.80666248977032,45,165,220,52.3588764657758,44.9959094627761,59.9945459503681,TRUE,TRUE,TRUE,FALSE,TRUE
"Prr32",0.000381793623977273,2.65511273190379e-08,159,11,3.66356164612965,0,0,3.66356164612965,39,135,184,43.3596945732206,36.8148350149986,50.1772566130352,TRUE,TRUE,TRUE,FALSE,TRUE
"Steap1",0.000380266106363636,4.43070597313662e-07,176,107,3.66356164612965,0,0,3.66356164612965,39,150,202,47.9956367602945,40.9053722388874,55.0859012817017,TRUE,TRUE,TRUE,FALSE,TRUE
"Wfdc2",0.00037004449,1.64439407383905e-07,157,45,3.63758615972639,0,0,3.63758615972639,38,133,182,42.8142896100355,36.2694300518135,49.63185164985,TRUE,TRUE,TRUE,FALSE,TRUE
"Lbp",0.000354426616136364,3.49253983124896e-06,158,1079,3.58351893845611,0,9.1424542871047e-256,3.58351893845611,36,134,183,43.086992091628,36.5421325334061,49.9045541314426,TRUE,TRUE,TRUE,FALSE,TRUE
"Tuba1c",0.000324737360090909,4.10647361286058e-06,130,788,3.49650756146648,0,5.51154418211954e-217,3.49650756146648,33,108,153,35.4513226070357,29.4518680119989,41.7234796836651,TRUE,TRUE,TRUE,FALSE,TRUE
"Cldn2",0.000288581926590909,3.24969683227131e-07,121,122,3.40119738166216,0,7.43468108055424e-280,3.40119738166216,30,100,143,32.9970002727025,27.2702481592582,38.9964548677393,TRUE,TRUE,TRUE,FALSE,TRUE
"Drc7",0.000278542179772727,1.6359681135965e-06,126,556,3.36729582998647,0,4.02051969305294e-226,3.36729582998647,29,104,148,34.3605126806654,28.3610580856286,40.3599672757022,TRUE,TRUE,TRUE,FALSE,TRUE
"Krt18",0.000284196562272727,9.64448966165182e-07,126,303,3.36729582998647,0,6.92434219724896e-255,3.36729582998647,29,104,148,34.3605126806654,28.3610580856286,40.3599672757022,TRUE,TRUE,TRUE,FALSE,TRUE
"Hemk1",0.000552121405909091,8.19208763070779e-06,252,2327,4.02535169073515,0.693147180559945,0,3.3322045101752,28,221,284,68.7210253613308,60.2672484319607,77.4475047722934,TRUE,TRUE,TRUE,FALSE,TRUE
"Col9a3",0.0004594910375,9.66884299013775e-06,210,1851,3.85014760171006,0.693147180559945,1.25627504558427e-317,3.15700042115011,23.5,182,239,57.2675211344423,49.63185164985,65.1758931006272,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc2a12",0.000455751831272727,6.18143197124171e-06,196,1779,3.85014760171006,0.693147180559945,2.99043407262357e-294,3.15700042115011,23.5,169,224,53.4496863921462,46.0867193891464,61.0853558767385,TRUE,TRUE,TRUE,FALSE,TRUE
"Wdr86",0.000220041556227273,3.21411794391123e-07,109,58,3.13549421592915,0,3.13619639929214e-271,3.13549421592915,23,89,130,29.7245704935915,24.2705208617398,35.4513226070357,TRUE,TRUE,TRUE,FALSE,TRUE
"Vat1l",0.000436323705,9.30524543930621e-06,203,2652,3.80666248977032,0.693147180559945,2.00442487492442e-274,3.11351530921037,22.5,176,231,55.3586037632942,47.9956367602945,62.9942732478866,TRUE,TRUE,TRUE,FALSE,TRUE
"Pon3",0.0002055326235,2.28949571130677e-06,79,368,3.09104245335832,0,8.40552895135079e-141,3.09104245335832,22,62,97,21.543496045814,16.9075538587401,26.4521407144805,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc16a8",0.000207888703409091,1.94023391766479e-08,80,5,3.09104245335832,0,3.1589056241193e-225,3.09104245335832,22,63,98,21.8161985274066,17.1802563403327,26.7248431960731,TRUE,TRUE,TRUE,FALSE,TRUE
"Ace",0.000175296970113636,3.28915455520302e-06,80,944,2.94443897916644,0,1.1735071257983e-112,2.94443897916644,19,63,98,21.8161985274066,17.1802563403327,26.7248431960731,TRUE,TRUE,TRUE,FALSE,TRUE
"Aqp1",0.000183082262704545,1.79472150366199e-07,88,41,2.94443897916644,0,4.64328759156768e-222,2.94443897916644,19,70,107,23.9978183801473,19.0891737114808,29.1791655304063,TRUE,TRUE,TRUE,FALSE,TRUE
"Defb11",0.000180525547045455,3.97698463816398e-08,63,10,2.94443897916644,0,1.19448558840048e-171,2.94443897916644,19,48,79,17.1802563403327,13.089719116444,21.543496045814,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcolce2",0.000368352431590909,9.29896156332019e-06,174,2327,3.63758615972639,0.693147180559945,7.81149071789736e-234,2.94443897916644,19,149,200,47.4502317971094,40.6326697572948,54.5404963185165,TRUE,TRUE,TRUE,FALSE,TRUE
"Ltc4s",0.000355181348431818,1.01592525758794e-05,163,1095,3.61091791264422,0.693147180559945,7.16055130853175e-265,2.91777073208428,18.5,138,188,44.4505044995909,37.6329424597764,51.2680665394055,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem72",0.000171223704795455,2.319487748429e-08,106,13,2.89037175789616,0,2.93429229625911e-291,2.89037175789616,18,86,127,28.9064630488137,23.4524134169621,34.633215162258,TRUE,TRUE,TRUE,FALSE,TRUE
"Cox8b",0.000159962252068182,1.07619680695028e-06,91,210,2.83321334405622,0,6.02119394915488e-186,2.83321334405622,17,73,110,24.815925824925,19.9072811562585,29.9972729751841,TRUE,TRUE,TRUE,FALSE,TRUE
"Msx1",0.000320489534772727,1.49370823219111e-05,157,2888,3.49650756146648,0.693147180559945,1.51552021807508e-190,2.80336038090653,16.5,133,182,42.8142896100355,36.2694300518135,49.63185164985,TRUE,TRUE,TRUE,FALSE,TRUE
"Bst2",0.000309842614545455,1.31320537621956e-05,141,2468,3.46573590279973,0.693147180559945,3.21441777300115e-174,2.77258872223978,16,118,165,38.4510499045541,32.1788928279247,44.9959094627761,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc13a4",0.000147255995659091,2.35000527549069e-06,79,396,2.77258872223978,0,1.5610692074846e-138,2.77258872223978,16,62,97,21.543496045814,16.9075538587401,26.4521407144805,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc4a2",0.000295509685022727,1.10274251048712e-05,144,2368,3.43398720448515,0.693147180559945,1.35834038574379e-181,2.7408400239252,15.5,121,168,39.2691573493319,32.9970002727025,45.8140169075539,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc4a5",0.000129458858090909,3.97961917012594e-08,64,10,2.63905732961526,0,1.73804347589836e-174,2.63905732961526,14,49,80,17.4529588219253,13.3624215980365,21.8161985274066,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcolce",0.000259016681681818,1.02859212166521e-05,102,1486,3.29583686600433,0.693147180559945,2.76688729717085e-134,2.60268968544438,13.5,83,122,27.8156531224434,22.6343059721843,33.2697027542951,TRUE,TRUE,TRUE,FALSE,TRUE
"Dab2",0.000254101978090909,1.42485849493139e-05,97,2363,3.25809653802148,0.693147180559945,3.22991266613375e-107,2.56494935746154,13,78,117,26.4521407144805,21.2707935642214,31.9061903463321,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm29538",0.000119322035818182,3.86524420181028e-07,50,111,2.56494935746154,0,1.21037727390193e-103,2.56494935746154,13,37,64,13.6351240796291,10.0899918189256,17.4529588219253,TRUE,TRUE,TRUE,FALSE,TRUE
"Oca2",0.000123752295681818,4.73938224681174e-07,59,211,2.56494935746154,0,1.28584826811287e-111,2.56494935746154,13,44,75,16.0894464139624,11.9989091900736,20.4526861194437,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem98",0.000250618908795455,1.48312860839833e-05,105,2669,3.25809653802148,0.693147180559945,4.60158466830709e-114,2.56494935746154,13,85,126,28.6337605672212,23.1797109353695,34.3605126806654,TRUE,TRUE,TRUE,FALSE,TRUE
