"","fill","ymin","lower","middle","upper","ymax","notchupper","notchlower","x","flipped_aes","PANEL","group","ymin_final","ymax_final","xmin","xmax","xid","newx","new_width","weight","colour","alpha","shape","linetype","linewidth"
"1","#CC0000",0.000807366683313324,0.0421152789411678,0.105093337109051,0.218407758718244,1.15275039307137,0.106427327218227,0.103759346999875,1,FALSE,"1",1,0.000807366683313324,1.15275039307137,0.625,1.375,1,1,0.75,1,"grey20",NA,19,"solid",0.5
"2","#FF6600",0.000807366683313324,0.016793306579052,0.0381699549441906,0.0832089640892784,0.466131885215216,0.0395523778987329,0.0367875319896484,2,FALSE,"1",2,0.000807366683313324,0.545612744725422,1.625,2.375,2,2,0.75,1,"grey20",NA,19,"solid",0.5
"3","#FF9900",0.000807366683313324,0.104370912064447,0.233492977854814,0.435682207820656,1.15275039307137,0.237489062585721,0.229496893123907,3,FALSE,"1",3,0.000807366683313324,1.15275039307137,2.625,3.375,3,3,0.75,1,"grey20",NA,19,"solid",0.5
"4","#CC9900",0.000807366683313324,0.0269014868565079,0.0636139777003754,0.12363863464378,0.54140883511996,0.0666371990137534,0.0605907563869975,4,FALSE,"1",4,0.000807366683313324,0.54140883511996,3.625,4.375,4,4,0.75,1,"grey20",NA,19,"solid",0.5
"5","#FFCC66",0.000807366683313324,0.10004715895621,0.277463654166895,0.421608113765622,1.09503416354618,0.283599649096073,0.271327659237717,5,FALSE,"1",5,0.000807366683313324,1.09503416354618,4.625,5.375,5,5,0.75,1,"grey20",NA,19,"solid",0.5
"6","#99CC00",0.000807366683313324,0.0543268755792657,0.107328782661396,0.196130825740214,0.68517513612516,0.111032218911194,0.103625346411599,6,FALSE,"1",6,0.000807366683313324,0.68517513612516,5.625,6.375,6,6,0.75,1,"grey20",NA,19,"solid",0.5
"7","#003300",0.000807366683313324,0.0338073546589556,0.0832089640892784,0.146512174024116,0.395674849153773,0.0920466091927233,0.0743713189858335,7,FALSE,"1",7,0.000807366683313324,0.395674849153773,6.625,7.375,7,7,0.75,1,"grey20",NA,19,"solid",0.5
"8","#99CCCC",0.000807366683313324,0.0851328384067846,0.156417633870487,0.231449993538105,0.710055193588655,0.166109249959821,0.146726017781152,8,FALSE,"1",8,0.000807366683313324,0.710055193588655,7.625,8.375,8,8,0.75,1,"grey20",NA,19,"solid",0.5
"9","#009999",0.000807366683313324,0.0211298639039893,0.0551840030240943,0.127176273575857,0.708668586661791,0.0613811866970398,0.0489868193511488,9,FALSE,"1",9,0.000807366683313324,0.708668586661791,8.625,9.375,9,9,0.75,1,"grey20",NA,19,"solid",0.5
"10","#3399FF",0.000807366683313324,0.0181426894038612,0.0477084190747537,0.0851910419184272,0.366689237770001,0.052564005869041,0.0428528322804664,10,FALSE,"1",10,0.000807366683313324,0.366689237770001,9.625,10.375,10,10,0.75,1,"grey20",NA,19,"solid",0.5
"11","#3399FF",0.000807366683313324,0.0117053889268035,0.0278916134650575,0.0543268755792657,0.198823764084425,0.0319598893795556,0.0238233375505594,11,FALSE,"1",11,0.000807366683313324,0.575335503118646,10.625,11.375,11,11,0.75,1,"grey20",NA,19,"solid",0.5
"12","#000033",0.000871265068389474,0.0211005600008103,0.0590317516591068,0.127176273575857,0.453456383578415,0.0696529464884097,0.0484105568298039,12,FALSE,"1",12,0.000871265068389474,0.453456383578415,11.625,12.375,12,12,0.75,1,"grey20",NA,19,"solid",0.5
"13","#CC0000",0.0168882165211127,0.295036155966811,0.460068688294195,0.675138252624341,1.4997947846495,0.462984962363012,0.457152414225379,1,FALSE,"2",1,0.0168882165211127,1.4997947846495,0.625,1.375,1,1,0.75,1,"grey20",NA,19,"solid",0.5
"14","#FF6600",0.0177973444180941,0.155310901178519,0.238131722903286,0.34975164472057,1.06293487870976,0.242178951482322,0.234084494324251,2,FALSE,"2",2,0.0177973444180941,1.06293487870976,1.625,2.375,2,2,0.75,1,"grey20",NA,19,"solid",0.5
"15","#FF9900",0.0572418003052098,0.559302756079571,0.734535144394387,0.966669672743845,1.49981369240167,0.739779091167128,0.729291197621647,3,FALSE,"2",3,0.0572418003052098,1.49981369240167,2.625,3.375,3,3,0.75,1,"grey20",NA,19,"solid",0.5
"16","#CC9900",0.0257491684504256,0.23787334838598,0.35634459506889,0.518579410535815,1.49795639795965,0.365120631800459,0.347568558337321,4,FALSE,"2",4,0.0257491684504256,1.49795639795965,3.625,4.375,4,4,0.75,1,"grey20",NA,19,"solid",0.5
"17","#FFCC66",0.0420145438189347,0.496658339466791,0.716681967715189,0.962298596141979,1.49945178456635,0.725698420472613,0.707665514957765,5,FALSE,"2",5,0.0420145438189347,1.49945178456635,4.625,5.375,5,5,0.75,1,"grey20",NA,19,"solid",0.5
"18","#99CC00",0.0485243718802313,0.329929356252906,0.470930152266842,0.637098876074848,1.48662519452007,0.478962255641621,0.462898048892064,6,FALSE,"2",6,0.0485243718802313,1.48662519452007,5.625,6.375,6,6,0.75,1,"grey20",NA,19,"solid",0.5
"19","#003300",0.0612830189335511,0.220327859347163,0.335581543879879,0.531673294471361,1.25524777444078,0.359995410790843,0.311167676968915,7,FALSE,"2",7,0.0612830189335511,1.25524777444078,6.625,7.375,7,7,0.75,1,"grey20",NA,19,"solid",0.5
"20","#99CCCC",0.11114332758657,0.574603584919445,0.643965839996688,0.73368726794375,1.38281781510073,0.654503073177344,0.633428606816031,8,FALSE,"2",8,0.11114332758657,1.38281781510073,7.625,8.375,8,8,0.75,1,"grey20",NA,19,"solid",0.5
"21","#009999",0.0439168435967427,0.340654937028527,0.482220814319738,0.633217392369834,1.48018851810912,0.499642466928116,0.464799161711359,9,FALSE,"2",9,0.0439168435967427,1.48018851810912,8.625,9.375,9,9,0.75,1,"grey20",NA,19,"solid",0.5
"22","#3399FF",0.0296562731692487,0.199499463157549,0.291566573880151,0.423985147625291,1.23369145796119,0.307823643355069,0.275309504405232,10,FALSE,"2",10,0.0296562731692487,1.23369145796119,9.625,10.375,10,10,0.75,1,"grey20",NA,19,"solid",0.5
"23","#3399FF",0.0359142304866845,0.190926902992101,0.271708882802002,0.382294156820676,1.18691948536385,0.289975134186489,0.253442631417515,11,FALSE,"2",11,0.0359142304866845,1.18691948536385,10.625,11.375,11,11,0.75,1,"grey20",NA,19,"solid",0.5
"24","#000033",0.0325833158693505,0.225938536651968,0.330838884923526,0.438034270954453,0.808341772259625,0.35207569814465,0.309602071702401,12,FALSE,"2",12,0.0325833158693505,0.808341772259625,11.625,12.375,12,12,0.75,1,"grey20",NA,19,"solid",0.5
